epoch,global_step,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step
0,49.0,49,,,0.03341174125671387,0.03341174125671387,,0.0001363181072520092
0,99.0,99,,,0.557134747505188,0.557134747505188,,0.003176572034135461
0,149.0,149,,,0.03411785513162613,0.03411785513162613,,0.0001385010837111622
0,199.0,199,,,0.09289640933275223,0.09289640933275223,,0.0003213688323739916
0,249.0,249,,,0.8879074454307556,0.8879074454307556,,0.010698007419705391
0,299.0,299,,,0.012622873298823833,0.012622873298823833,,6.962433690205216e-05
0,349.0,349,,,0.02458202838897705,0.02458202838897705,,0.00010105877299793065
0,399.0,399,,,0.107850581407547,0.107850581407547,,0.00036119765718467534
0,,400,0.22488264739513397,0.22488264739513397,,,0.004474662709981203,
1,449.0,449,,,0.08014525473117828,0.08014525473117828,,0.00027292099548503757
1,499.0,499,,,0.09814150631427765,0.09814150631427765,,0.00032821897184476256
1,549.0,549,,,0.4395506978034973,0.4395506978034973,,0.0018272794550284743
1,599.0,599,,,0.423650860786438,0.423650860786438,,0.0017082460690289736
1,649.0,649,,,0.06678909808397293,0.06678909808397293,,0.00023528054589405656
1,699.0,699,,,0.5556233525276184,0.5556233525276184,,0.003097811946645379
1,749.0,749,,,0.006305839866399765,0.006305839866399765,,3.503441621433012e-05
1,799.0,799,,,0.009674260392785072,0.009674260392785072,,5.07921286043711e-05
1,,801,0.2029474377632141,0.2029474377632141,,,0.004111599642783403,
2,849.0,849,,,0.4045414924621582,0.4045414924621582,,0.0022192939650267363
2,899.0,899,,,0.022452449426054955,0.022452449426054955,,9.114549175137654e-05
2,949.0,949,,,0.0057424092665314674,0.0057424092665314674,,3.3271455322392285e-05
2,999.0,999,,,0.13711005449295044,0.13711005449295044,,0.00046641024528071284
2,1049.0,1049,,,0.012451959773898125,0.012451959773898125,,5.9790352679556236e-05
2,1099.0,1099,,,0.018750621005892754,0.018750621005892754,,8.278967288788408e-05
2,1149.0,1149,,,0.04665686562657356,0.04665686562657356,,0.00017099903197959065
2,1199.0,1199,,,0.052410297095775604,0.052410297095775604,,0.00018269388237968087
2,,1202,0.19656331837177277,0.19656331837177277,,,0.0038224246818572283,
3,1249.0,1249,,,0.047619059681892395,0.047619059681892395,,0.0001909245183924213
3,1299.0,1299,,,0.44352132081985474,0.44352132081985474,,0.002281125634908676
3,1349.0,1349,,,0.019440745934844017,0.019440745934844017,,8.560309652239084e-05
3,1399.0,1399,,,0.0584096796810627,0.0584096796810627,,0.00019736173271667212
3,1449.0,1449,,,0.4767550826072693,0.4767550826072693,,0.0022623955737799406
3,1499.0,1499,,,0.14525417983531952,0.14525417983531952,,0.0004791815881617367
3,1549.0,1549,,,0.06323574483394623,0.06323574483394623,,0.0002187597710872069
