epoch,global_step,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step
0,49.0,49,,,0.09627875685691833,0.09627875685691833,,0.000325668603181839
0,99.0,99,,,0.09869247674942017,0.09869247674942017,,0.0004092464514542371
0,149.0,149,,,0.17277401685714722,0.17277401685714722,,0.0010112466989085078
0,199.0,199,,,0.037848345935344696,0.037848345935344696,,0.00013362969912122935
0,249.0,249,,,0.3382064700126648,0.3382064700126648,,0.010166099295020103
0,299.0,299,,,0.19503112137317657,0.19503112137317657,,0.0017913695191964507
0,349.0,349,,,0.12329636514186859,0.12329636514186859,,0.0005065207369625568
0,399.0,399,,,0.1913059800863266,0.1913059800863266,,0.001922141294926405
0,,399,0.11214763671159744,0.11214763671159744,,,0.0019958021584898233,
1,449.0,449,,,0.21740010380744934,0.21740010380744934,,0.0030725153628736734
1,499.0,499,,,0.013974850997328758,0.013974850997328758,,5.3399551688926294e-05
1,549.0,549,,,0.35488587617874146,0.35488587617874146,,0.0036684242077171803
1,599.0,599,,,0.0031008971855044365,0.0031008971855044365,,1.6995703845168464e-05
1,649.0,649,,,0.010289052501320839,0.010289052501320839,,4.244356387061998e-05
1,699.0,699,,,0.08165399730205536,0.08165399730205536,,0.00027667952235788107
1,749.0,749,,,0.08183790743350983,0.08183790743350983,,0.00027193085406906903
1,799.0,799,,,0.05502837896347046,0.05502837896347046,,0.00018621758499648422
1,,799,0.1162545382976532,0.1162545382976532,,,0.002901729429140687,
2,849.0,849,,,0.11912570893764496,0.11912570893764496,,0.0005465454305522144
2,899.0,899,,,0.03429079428315163,0.03429079428315163,,0.00011890745372511446
2,949.0,949,,,0.21271291375160217,0.21271291375160217,,0.0012772169429808855
2,999.0,999,,,0.004076017066836357,0.004076017066836357,,2.125566970789805e-05
2,1049.0,1049,,,0.013912973925471306,0.013912973925471306,,5.286074519972317e-05
2,1099.0,1099,,,0.11541406065225601,0.11541406065225601,,0.00046560450573451817
2,1149.0,1149,,,0.338961660861969,0.338961660861969,,0.002869663294404745
2,1199.0,1199,,,0.19419138133525848,0.19419138133525848,,0.001363484188914299
2,,1199,0.11375810950994492,0.11375810950994492,,,0.0017181335715577006,
3,1249.0,1249,,,0.05426297336816788,0.05426297336816788,,0.00018141319742426276
3,1299.0,1299,,,0.048970405012369156,0.048970405012369156,,0.00016934631275944412
3,1349.0,1349,,,0.24720171093940735,0.24720171093940735,,0.0010890751145780087
3,1399.0,1399,,,0.022906675934791565,0.022906675934791565,,8.431806054431945e-05
3,1449.0,1449,,,0.5742331743240356,0.5742331743240356,,0.03334152325987816
3,1499.0,1499,,,0.04419584199786186,0.04419584199786186,,0.00015283588436432183
3,1549.0,1549,,,0.012695182114839554,0.012695182114839554,,5.27676529600285e-05
3,1599.0,1599,,,0.199887216091156,0.199887216091156,,0.0008902885019779205
3,,1599,0.11330721527338028,0.11330721527338028,,,0.002838323125615716,
4,1649.0,1649,,,0.13111905753612518,0.13111905753612518,,0.0007047242834232748
4,1699.0,1699,,,0.4491603374481201,0.4491603374481201,,0.008498601615428925
4,1749.0,1749,,,0.018656635656952858,0.018656635656952858,,7.031577115412802e-05
4,1799.0,1799,,,0.03762562572956085,0.03762562572956085,,0.0001278478157473728
4,1849.0,1849,,,0.04856254532933235,0.04856254532933235,,0.00016942323418334126
4,1899.0,1899,,,0.25698646903038025,0.25698646903038025,,0.0019728492479771376
4,1949.0,1949,,,0.19938521087169647,0.19938521087169647,,0.001068197307176888
4,1999.0,1999,,,0.13588617742061615,0.13588617742061615,,0.0005534023512154818
