epoch,global_step,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step
0,0.0,0,,,0.10223901271820068,0.10223901271820068,,0.00041663003503344953
0,1.0,1,,,0.3463457226753235,0.3463457226753235,,0.004278551787137985
0,,1,0.13234134018421173,0.13234134018421173,,,0.0012437086552381516,
